,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
0,35,Ontario,Ontario,31-01-2020,3,0,0.0,3,,,,,3,300.0,0.02,0.0,0.0,0.0,,,100.0,3.0,0.02,,,,,,,,
1,59,British Columbia,Colombie-Britannique,31-01-2020,1,0,0.0,1,,,,,1,100.0,0.02,0.0,0.0,0.0,,,100.0,1.0,0.02,,,,,,,,
2,1,Canada,Canada,31-01-2020,4,0,0.0,4,,,,,4,400.0,0.01,0.0,0.0,0.0,,,100.0,4.0,0.01,,,,,,,,
3,35,Ontario,Ontario,08-02-2020,3,0,0.0,3,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,3.0,0.02,,,,,,,,
4,59,British Columbia,Colombie-Britannique,08-02-2020,4,0,0.0,4,,,,,3,300.0,0.08,0.0,0.0,0.0,,,100.0,4.0,0.08,,,,,,,,
5,1,Canada,Canada,08-02-2020,7,0,0.0,7,,,,,3,75.0,0.02,0.0,0.0,0.0,,,100.0,7.0,0.02,,,,,,,,
6,35,Ontario,Ontario,16-02-2020,3,0,0.0,3,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,3.0,0.02,,,,,,,,
7,59,British Columbia,Colombie-Britannique,16-02-2020,5,0,0.0,5,,,,,1,25.0,0.1,0.0,0.0,0.0,,,100.0,5.0,0.1,,,,,,,,
8,1,Canada,Canada,16-02-2020,8,0,0.0,8,,,,,1,14.29,0.02,0.0,0.0,0.0,,,100.0,8.0,0.02,,,,,,,,
9,35,Ontario,Ontario,21-02-2020,3,0,0.0,3,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,3.0,0.02,,,,,,,,
10,59,British Columbia,Colombie-Britannique,21-02-2020,6,0,0.0,6,,,,,1,20.0,0.12,0.0,0.0,0.0,,,100.0,6.0,0.12,,,,,,,,
11,1,Canada,Canada,21-02-2020,9,0,0.0,9,,,,,1,12.5,0.02,0.0,0.0,0.0,,,100.0,9.0,0.02,,,,,,,,
12,35,Ontario,Ontario,24-02-2020,4,0,0.0,4,,,,,1,33.33,0.03,0.0,0.0,0.0,,,100.0,4.0,0.03,,,,,,,,
